TIMESTAMP,RECORD,AirTC_Avg,RH,T107_C,T107_C_2,WP_kPa,WP_kPa_2,VW_Avg,WS_ms_S_WVT,WindDir_D1_WVT,WindDir_SD1_WVT,SlrkW_Avg,SlrMJ_Tot,NR_Wm2_Avg,CNR_Wm2_Avg,Rain_mm_Tot,BP_mbar_Avg
2016-05-18,3935.5,12.356,87.421,-103.19,-125.963,,,,0.85,186.982,58.395,0.075,0.6779999999999999,7.997999999999999,7.997999999999999,0.0,996.75
2016-05-19,4031.5,13.347000000000001,82.275,-104.926,-113.031,-3.688,-3.6830000000000003,,1.11,249.359,49.857,0.155,1.3980000000000001,69.709,69.709,0.0,1002.865
2016-05-20,4127.5,14.915999999999999,75.113,-104.12700000000001,-113.149,-3.695,-3.698,,1.016,224.49900000000002,55.951,0.171,1.5419999999999998,88.584,88.588,0.0,1004.802
2016-05-21,4223.5,14.477,87.47399999999999,-105.079,-120.792,,,,0.818,172.208,73.13,0.11199999999999999,1.006,41.305,41.305,0.0,998.8960000000001
2016-05-22,4319.5,13.755,74.908,-103.275,-113.506,-3.695,-3.696,,1.183,265.845,40.668,0.225,2.029,110.42299999999999,110.426,0.0,1000.438
2016-05-23,4415.5,12.77,75.733,-104.77799999999999,-120.13600000000001,,,,1.4480000000000002,263.545,34.648,0.19,1.706,77.634,77.639,0.0,1011.24
2016-05-24,4511.5,11.55,74.471,-103.20299999999999,-112.499,,,,1.528,96.01899999999999,36.239000000000004,0.228,2.051,110.041,110.051,0.0,1015.8330000000001
2016-05-25,4607.5,9.488999999999999,81.95700000000001,-104.50200000000001,-130.579,,,,1.335,230.09799999999998,41.961000000000006,0.062,0.555,25.384,25.384,0.0,1011.8439999999999
2016-05-26,4703.5,11.622,83.772,-107.351,-123.111,,,,0.626,234.583,45.786,0.10099999999999999,0.91,48.45,48.45,0.0,1009.4789999999999
2016-05-27,4799.5,12.5,77.708,-103.56700000000001,-111.626,-3.694,-3.696,,0.853,131.57,39.305,0.237,2.13,122.075,122.075,0.0,1011.198
2016-05-28,4895.5,12.85,77.057,-101.99799999999999,-120.916,-3.6919999999999997,-3.6919999999999997,,1.11,100.31700000000001,41.391000000000005,0.254,2.282,128.746,128.747,0.0,1009.927
2016-05-29,4991.5,12.421,83.113,-103.64299999999999,-113.515,,,,1.401,76.26100000000001,40.637,0.145,1.308,69.703,69.703,0.0,1008.688
2016-05-30,5087.5,13.366,81.48899999999999,-102.35799999999999,-128.645,,,,1.876,278.499,42.123999999999995,0.113,1.0170000000000001,54.888999999999996,54.909,0.0,1011.3330000000001
2016-05-31,5183.5,11.537,85.395,-102.41,-119.64399999999999,,,,2.374,325.54200000000003,36.334,0.037000000000000005,0.33399999999999996,0.703,0.725,0.0,1012.7810000000001
2016-06-01,5279.5,11.485,91.117,-105.12299999999999,-124.09200000000001,,,,1.851,282.312,44.255,0.034,0.311,11.709000000000001,11.71,0.0,1017.2710000000001
2016-06-02,5375.5,10.56,82.286,-114.008,-141.56,,,,1.806,59.665,44.736000000000004,0.127,1.1420000000000001,71.42399999999999,71.442,0.0,1016.0939999999999
2016-06-03,5471.5,11.376,82.021,-107.684,-121.204,,,,1.01,163.74,49.472,0.095,0.853,56.47,56.47,0.0,1011.6039999999999
2016-06-04,5567.5,16.144000000000002,86.819,-103.913,-120.523,,,,1.115,155.197,37.234,0.11699999999999999,1.057,66.368,66.368,0.0,1011.312
2016-06-05,5663.5,15.205,80.40100000000001,-102.28200000000001,-119.195,-3.694,-3.6919999999999997,,1.4340000000000002,68.06,32.128,0.253,2.278,149.25799999999998,149.25799999999998,0.0,1015.073
2016-06-06,5759.5,16.986,73.032,-99.335,-115.23899999999999,-3.69,-3.6919999999999997,,0.882,94.023,35.58,0.305,2.7460000000000004,173.093,173.093,0.0,1015.4689999999999
2016-06-07,5855.5,19.019000000000002,62.248000000000005,-97.531,-109.71799999999999,,,,0.581,137.263,53.144,0.226,2.0340000000000003,121.54,121.54,0.0,1016.198
2016-06-08,5951.5,18.899,77.783,-98.431,-119.618,-3.69,-3.68,,1.229,129.731,35.978,0.25,2.247,141.923,141.92600000000002,0.0,1017.438
2016-06-09,6047.5,16.656,76.667,-98.55799999999999,-107.281,,,,0.86,96.652,41.826,0.252,2.2640000000000002,153.066,153.066,0.0,1014.9169999999999
2016-06-10,6143.5,17.97,84.338,-99.00399999999999,-112.29299999999999,,,,0.562,181.864,48.937,0.11599999999999999,1.044,53.365,53.365,0.0,1006.4169999999999
2016-06-11,6239.5,17.158,89.664,-101.29,-124.796,,,,0.429,178.388,64.607,0.122,1.094,58.387,58.387,0.0,1003.5
2016-06-12,6335.5,16.432000000000002,91.917,-104.205,-122.27,,,,0.509,172.28099999999998,56.501000000000005,0.111,0.997,33.935,33.935,0.0,999.2289999999999
2016-06-13,6431.5,14.924000000000001,93.48100000000001,-105.361,-117.822,,,,1.03,266.382,32.429,0.07,0.633,14.842,14.842,0.0,994.677
2016-06-14,6527.5,14.874,92.15799999999999,-108.029,-119.084,,-3.714,,0.76,123.66799999999999,36.213,0.109,0.981,42.672,42.672,0.0,988.573
2016-06-15,6623.5,14.085,93.87,-108.27600000000001,-121.35700000000001,,,,0.591,162.248,44.742,0.084,0.759,32.427,32.427,0.0,988.802
2016-06-16,6719.5,14.365,91.056,-109.32700000000001,-116.374,-3.6889999999999996,-3.6919999999999997,,1.084,101.814,38.317,0.135,1.212,78.518,78.518,0.0,994.3330000000001
2016-06-17,6815.5,14.232999999999999,86.845,-108.721,-123.805,-3.693,-3.69,,1.1079999999999999,211.708,43.665,0.15,1.351,83.94,83.94,0.0,1001.385
2016-06-18,6911.5,14.149000000000001,80.96600000000001,-111.809,-114.44,-3.698,-3.695,,0.96,270.032,43.876999999999995,0.11699999999999999,1.052,65.125,65.125,0.0,1012.198
